订单号,下单时间,订单金额,结算金额,京东券优惠,礼品卡优惠,优惠明细（A表示含有订单优惠，B表示只有单品优惠，C表示无优惠）,订单状态,订单类型,
8535922943,2015-02-20 19:21:29,198.00,59.80,0.00,0.00,B【单品促销优惠（1178472591）：138.20】,等待确认收货,销售订单,
8535756482,2015-02-20 18:09:00,196.00,196.00,18.00,0.00,C无优惠,等待确认收货,销售订单,
8535427106,2015-02-20 16:16:01,98.00,98.00,0,0,C无优惠,等待确认收货,销售订单,
8536117393,2015-02-20 14:52:11,46.00,46.00,2.00,0.00,C无优惠,等待确认收货,销售订单,
8536075697,2015-02-20 14:39:55,507.00,151.60,0.00,0.00,A【单品促销优惠（1031829675）：69.00】【单品促销优惠（1336921615）：210.30】【单品促销优惠（1408620283）：26.10】【店铺优惠:50.00】,等待出库,销售订单,
8536163432,2015-02-20 14:16:07,92.00,92.00,0,0,C无优惠,等待确认收货,销售订单,
8533498601,2015-02-19 21:20:04,589.00,149.70,0.00,0.00,A【单品促销优惠（1160698196）：49.00】【单品促销优惠（1031826845）：103.00】【单品促销优惠（1031836841）：14.20】【单品促销优惠（1181528621）：11.10】【单品促销优惠（1038291460）：89.00】【单品促销优惠（1030957237）：123.00】【店铺优惠:50.00】,等待确认收货,销售订单,
8531293366,2015-02-19 15:16:01,463.00,160.00,0.00,0.00,A【单品促销优惠（1031268921）：63.00】【单品促销优惠（1031180370）：79.00】【单品促销优惠（1031827952）：111.00】【店铺优惠:50.00】,等待确认收货,销售订单,
8528921704,2015-02-18 20:37:33,148.00,59.00,0.00,0.00,B【单品促销优惠（1038291460）：89.00】,等待确认收货,销售订单,
8527200487,2015-02-18 17:41:48,296.00,112.00,0.00,0.00,B【单品促销优惠（1031825822）：184.00】,(删除)锁定,销售订单,
8528052353,2015-02-18 17:05:36,195.00,56.00,0.00,0.00,B【单品促销优惠（1031808396）：139.00】,等待确认收货,销售订单,
8526759953,2015-02-18 10:47:51,29.00,9.90,0.00,0.00,B【单品促销优惠（1348189715）：19.10】,(删除)锁定,销售订单,
8524292146,2015-02-18 01:22:08,323.60,91.80,0.00,0.00,A【单品促销优惠（1247970784）：25.80】【单品促销优惠（1160698197）：196.00】【店铺优惠:10.00】,等待出库,销售订单,
8522970850,2015-02-17 19:12:54,390.00,112.00,0.00,0.00,B【单品促销优惠（1031808396）：278.00】,等待确认收货,销售订单,
8522181587,2015-02-17 15:51:55,252.00,105.80,0.00,0.00,B【单品促销优惠（1213126821）：59.10】【单品促销优惠（1247973687）：46.20】【单品促销优惠（1248001565）：40.90】,(删除)锁定,销售订单,
8522895337,2015-02-17 14:51:04,92.00,92.00,0,0,C无优惠,等待确认收货,销售订单,
8519067265,2015-02-16 23:35:21,148.00,59.00,0.00,0.00,B【单品促销优惠（1038291460）：89.00】,等待出库,销售订单,
8519071624,2015-02-16 23:06:12,533.00,180.00,0.00,0.00,A【单品促销优惠（1031268921）：63.00】【单品促销优惠（1038291460）：89.00】【单品促销优惠（1160698196）：49.00】【单品促销优惠（1181526046）：2.00】【单品促销优惠（1181519315）：2.00】【单品促销优惠（1041750488）：98.00】【店铺优惠:50.00】,(删除)锁定,销售订单,
8518030400,2015-02-16 19:56:59,78.00,39.60,0.00,0.00,B【单品促销优惠（1216417435）：38.40】,等待确认收货,销售订单,
8516862374,2015-02-16 19:41:37,158.00,79.00,0.00,0.00,B【单品促销优惠（1031180370）：79.00】,等待确认收货,销售订单,
8514432371,2015-02-16 12:00:50,506.00,263.00,0.00,0.00,B【单品促销优惠（1030957237）：123.00】【单品促销优惠（1031832162）：120.00】,(删除)锁定,销售订单,
8513013427,2015-02-16 07:57:15,158.00,79.00,0.00,0.00,B【单品促销优惠（1031180370）：79.00】,(删除)锁定,销售订单,
8511875482,2015-02-16 03:06:12,1788.00,534.00,0.00,0.00,B【单品促销优惠（1071191979）：1254.00】,(删除)锁定,销售订单,
8511118314,2015-02-16 00:15:49,92.00,92.00,0,0,C无优惠,等待确认收货,销售订单,
8506886040,2015-02-15 10:32:41,544.00,160.90,0.00,0.00,A【单品促销优惠（1031864931）：24.10】【店铺优惠:50.00】【单品促销优惠（1038291460）：89.00】【单品促销优惠（1053929675）：11.00】【单品促销优惠（1041750488）：98.00】【单品促销优惠（1031827952）：111.00】,等待确认收货,销售订单,
8504329435,2015-02-15 06:16:57,298.00,89.00,0.00,0.00,B【单品促销优惠（1071191979）：209.00】,(删除)锁定,销售订单,
8503969340,2015-02-15 00:47:48,92.00,39.80,0.00,0.00,B【单品促销优惠（1079224128）：52.20】,等待确认收货,销售订单,
8502056506,2015-02-14 22:36:54,827.00,302.00,0.00,0.00,B【单品促销优惠（1038291460）：89.00】【单品促销优惠（1031827952）：111.00】【单品促销优惠（1031268921）：63.00】【单品促销优惠（1031808396）：139.00】【单品促销优惠（1030957237）：123.00】,(删除)锁定,销售订单,
8501997758,2015-02-14 22:23:53,294.00,98.00,0.00,0.00,B【单品促销优惠（1041750488）：196.00】,等待确认收货,销售订单,
8501579733,2015-02-14 19:15:40,891.00,157.00,0.00,0.00,A【单品促销优惠（1096568963）：684.00】【店铺优惠:50.00】,(删除)锁定,销售订单,
8501537124,2015-02-14 18:44:04,466.00,161.00,0.00,0.00,A【单品促销优惠（1031824498）：116.00】【单品促销优惠（1031830982）：139.00】【店铺优惠:50.00】,等待确认收货,销售订单,
8500136474,2015-02-14 17:55:41,573.00,166.00,0.00,0.00,A【店铺优惠:50.00】【单品促销优惠（1031825822）：276.00】【单品促销优惠（1323453413）：81.00】,等待出库,销售订单,
8499411439,2015-02-14 16:02:25,195.00,56.00,0.00,0.00,B【单品促销优惠（1031808396）：139.00】,等待确认收货,销售订单,
8498425401,2015-02-14 10:52:53,352.00,170.60,0.00,0.00,B【单品促销优惠（1031831609）：42.40】【单品促销优惠（1031830982）：139.00】,(删除)锁定,销售订单,
8496659543,2015-02-14 08:44:49,39.00,19.80,0.00,0.00,B【单品促销优惠（1216417435）：19.20】,(删除)锁定,销售订单,
8493650095,2015-02-13 22:38:20,148.00,56.00,0.00,0.00,B【单品促销优惠（1031825822）：92.00】,等待确认收货,销售订单,
8494198949,2015-02-13 21:43:02,69.00,39.00,0.00,0.00,B【单品促销优惠（1178530987）：30.00】,(删除)锁定,销售订单,
8494001853,2015-02-13 21:17:35,566.00,178.00,0.00,0.00,A【单品促销优惠（1234083810）：129.00】【单品促销优惠（1071191979）：209.00】【店铺优惠:50.00】,(删除)锁定,销售订单,
8492115679,2015-02-13 19:04:11,149.00,46.00,0.00,0.00,B【单品促销优惠（1031826845）：103.00】,(删除)锁定,销售订单,
8491884542,2015-02-13 18:25:04,219.00,117.00,0.00,0.00,B【单品促销优惠（1060294136）：102.00】,(删除)锁定,销售订单,
8492304669,2015-02-13 17:12:05,566.00,178.00,0.00,0.00,A【单品促销优惠（1234083810）：129.00】【单品促销优惠（1071191979）：209.00】【店铺优惠:50.00】,等待出库,销售订单,
8492308992,2015-02-13 16:49:35,246.00,104.80,0.00,0.00,B【单品促销优惠（1213126821）：59.10】【单品促销优惠（1031268921）：63.00】【单品促销优惠（1348189715）：19.10】,(删除)锁定,销售订单,
8491713433,2015-02-13 15:51:44,436.00,157.00,0.00,0.00,A【单品促销优惠（1031836841）：71.00】【单品促销优惠（1031180370）：158.00】【店铺优惠:50.00】,等待出库,销售订单,
8490760410,2015-02-13 15:47:52,52.80,29.70,0.00,0.00,B【单品促销优惠（1247963581）：23.10】,(删除)锁定,销售订单,
8491771104,2015-02-13 15:37:34,672.00,151.00,0.00,0.00,A【单品促销优惠（1031808396）：139.00】【单品促销优惠（1071191979）：209.00】【单品促销优惠（1030957237）：123.00】【店铺优惠:50.00】,等待出库,销售订单,
8490110629,2015-02-13 12:13:09,158.00,79.00,0.00,0.00,B【单品促销优惠（1031180370）：79.00】,等待确认收货,销售订单,
8488371538,2015-02-13 10:32:11,596.00,178.00,0.00,0.00,B【单品促销优惠（1071191979）：418.00】,(删除)锁定,销售订单,
8487968546,2015-02-13 09:46:48,1038.00,273.40,0.00,0.00,A【单品促销优惠（1178472591）：69.10】【店铺优惠:50.00】【单品促销优惠（1248041946）：49.10】【单品促销优惠（1334284628）：80.40】【单品促销优惠（1031808396）：139.00】【单品促销优惠（1096260100）：266.00】【单品促销优惠（1031827952）：111.00】,等待确认收货,销售订单,
8488496996,2015-02-13 08:33:01,128.00,65.00,0.00,0.00,B【单品促销优惠（1031268921）：63.00】,(删除)锁定,销售订单,
8483084097,2015-02-12 21:19:22,436.00,197.00,0.00,0.00,B【单品促销优惠（1051105098）：100.00】【单品促销优惠（1031830982）：139.00】,等待确认收货,销售订单,
8482535461,2015-02-12 20:34:54,540.00,169.00,0.00,0.00,A【单品促销优惠（1031268921）：63.00】【单品促销优惠（1038291460）：89.00】【单品促销优惠（1031808396）：139.00】【单品促销优惠（1178530987）：30.00】【店铺优惠:50.00】,(删除)锁定,销售订单,
8480713888,2015-02-12 17:58:12,177.00,66.00,0.00,0.00,B【单品促销优惠（1031827952）：111.00】,等待确认收货,销售订单,
8479809653,2015-02-12 17:06:05,656.00,149.20,0.00,0.00,A【单品促销优惠（1031808396）：278.00】【单品促销优惠（1348189715）：38.20】【店铺优惠:50.00】【单品促销优惠（1160698197）：49.00】【单品促销优惠（1031836841）：42.60】【单品促销优惠（1160698196）：49.00】,(删除)锁定,销售订单,
8476051995,2015-02-12 14:01:52,426.00,218.00,9.00,0.00,B【单品促销优惠（1031180370）：79.00】【单品促销优惠（1234083810）：129.00】,完成,销售订单,
